ID;CECO;OI;SUCURSAL;DEPARTAMENTO;MUNICIPIO;LOCALIDAD;DIRECCION_SUCURSAL;TELEFONO_SUCURSAL;CORREO_SUCURSAL;NOMBRE_CONTACTO;TELEFONO_CONTACTO;CORREO_CONTACTO;Aseo;Cafeteria;Higienicos;EPP;Dotación;Maquinaria
9840;;;122410-JINF-SDIS-RESO-LA ESCUELITA ;11;11001;1422;KR 81 G 73 44 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9841;;;122496-JINF-SDIS-RESO-LOS CEDROS;11;11001;1423;KR 81 A 84 C 25 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9842;;;122672 JINF SDIS NOC Los Cedros;11;11001;1424;KR 81 A 84 C 25 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9843;;;CENTRO CRECER BOSA;11;11001;1425;Carrera 81 C # 68 A -24 Sur;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9844;;;121614-JINF-SDIS-TALLER DE LAS MARIPOSAS-;11;11001;1426;KR 80 C 65 F 29 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9845;;;121631-JINF-SDIS-LA ESTACION DE LA ALEGRIA-;11;11001;1427;CL 63 SUR 77 L 51;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9846;;;122087-JINF-SDIS-ANTONIA SANTOS;11;11001;1428;CL 67 SUR 81 B 10;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9847;;;122092-JINF-SDIS-LA ABEJA MAYA;11;11001;1429;CL 57 N BIS SUR 75 B 26;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9848;;;122097-JINF-SDIS-NUEVO CHILE;11;11001;1430;CL 56 SUR 73 A 12;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9849;;;122098-JINF-SDIS-OLARTE;11;11001;1431;KR 71 D 54 15 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9850;;;122287-JINF-SDIS-RUEDA DE COLORES;11;11001;1432;KR 80 N BIS  70  10 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9851;;;122407-JINF-SDIS-RESO-LA ABEJA MAYA ;11;11001;1433;CL 57 N BIS SUR 75 B 26;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9852;;;Comedor Comunitario Bosa;11;11001;1434;Cl 65 Sur 78 C 38;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9853;;;Casa de la Sabiduría Porvenir;11;11001;1435;KR 100 52 24 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9854;;;Casa de la Sabiduría Rincón Intercultural;11;11001;1436;DIAGONAL 89A SUR 87-60;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9855;;;Casa De La Sabiduria Campo Verde;11;11001;1437;Carrera 95a # 85-80 sur;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9856;;;245-AMAR-NA-CANDELARIA-;11;11001;1438;Cll 9 No. 3- 57 ;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9857;;;CENTRO ABRAZAR;11;11001;1439;Calle 1c No. 5a - 30??;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9858;;;Comedor Comunitario La Rioja;11;11001;1440;Cl 7 0 - 11;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9859;;;17-JINF-SDIS-JUAN XXIII-;11;11001;1441;CL 65 B 1 19;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9860;;;19-JINF-SDIS-SAN LUIS-;11;11001;1442;CL 97 6 46 ESTE KM 5 VIA LA CALERA;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9861;;;21-AMAR-NA-CHAPINERO-;11;11001;1443;Cll 59 No. 6 - 24 ;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9862;;;CENTRO CRECER SIN LIMITES PARDO RUBIO ;11;11001;1444;Transversal 3 Bis Este No 47 B 45;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9863;;;121637-JINF-SDIS- CASA DE LA HADAS-;11;11001;1445;CL 96 A 6 37 ESTE KM 5 VIA LA CALERA;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9864;;;121823-JINF-SDIS-LAS HADAS DE LOS SUEÑOS;11;11001;1446;CL 97 6 46 ESTE KM 5 VIA LA CALERA;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9865;;;122708 JINF SDIS NOC Juan Xxiii;11;11001;1447;CL 65 B 1 19;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9866;;;121043-JINF-SDIS-MARAVILLAS INFANTILES NUEVA COLOMBIA SUR-;11;11001;1448;CL 70 K SUR 18 L 49 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9867;;;121059-JINF-CC-Jardín Infantil Dejando Huella (Paticos);11;11001;1449;CL 91 C SUR # 18H-20;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9868;;;121102-AMAR-NA-CIUDAD BOLIVAR;11;11001;1450;Dg 73 C #57-17 sur B;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9869;;;121674-JINF-SDIS-ARABIA-;11;11001;1451;DG 81 18 I 35 SUR ;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9870;;;121739-JINF-SDIS-ESTRELLA DEL MAÑANA-;11;11001;1452;KR 19 78 D 05 IN 1;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9871;;;121816 JINF SDIS Yanacona Muyu Kausay;11;11001;1453;TV 17 B 77 A 74 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9872;;;122136-JINF-SDIS-MANITAS;11;11001;1454;CL 70 B SUR 18 J 33;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9873;;;122138-JINF-SDIS-MINUTO DE MARIA;11;11001;1455;KR 18 A BIS B 80 A 21  SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9874;;;122178-JINF-SDIS-ALISO DEL MOCHUELO;11;11001;1456;CL 91 C SUR # 18H-20;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9875;;;122291-JINF-SDIS-WOUNAAH CHAAIN JAU JEM DI BAUR DO;11;11001;1457;KR 18 G 72 15 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9876;;;122342-JINF-SDIS-LA ESTRELLA;11;11001;1458;KR 18 G 74 A 75 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9877;;;122369-ESRU-MONTAÑA DE COLORES;11;11001;1459;FINCA LA FLORIDA PASQUILLA;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9878;;;122757-JINF-SDIS-DEJANDO-HUELLA;11;11001;1460;CL 91 C SUR # 18 H 14;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9879;;;277-JINF-SDIS-ARBORIZADORA ALTA-;11;11001;1461;CL 70 SUR 34 05;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9880;;;279-JINF-SDIS-LA ESTANCIA-;11;11001;1462;KR 74 G 59 87 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9881;;;1097-JINF-CC-CAMINOS DE LA VIDA-;11;11001;1463;KR 76 C BIS 62 F 42 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9882;;;113264-JINF-CC-SEMILLITAS DE AMOR-;11;11001;1464;DG 75 D SUR 75 L 07;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9883;;;121042-JINF-SDIS-CANDELARIA-;11;11001;1465;KR 49 C BIS A 68 B 07 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9884;;;121826-JINF-SDIS-LUNA LUNERA;11;11001;1466;KR 74 G 59 A 87 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9885;;;121854-JINF-CC-CASTILLO SAN LUCAS EMMA Y ANTONIO;11;11001;1467;CL 62 H SUR74 H 22;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9886;;;121875-JINF-SDIS-NOCHES DE CARTAGENA;11;11001;1468;CL 70 56 04 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9887;;;122124-JINF-SDIS-BARLOVENTO;11;11001;1469;CL 62 B 71 H 24 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9888;;;122125-JINF-SDIS-CARTAGENA DE INDIAS;11;11001;1470;CL 70 56 04 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9889;;;122132-JINF-SDIS-LA ESTANCIA  MIS PRIMERAS LETRAS;11;11001;1471;KR 75 H 59 A 18 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9890;;;122135-JINF-SDIS-M BELTRAN MIS PEQUEÑAS TRAVESURAS;11;11001;1472;KR 46 C 69 D 20 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9891;;;122137-JINF-SDIS-MI REFUGIO;11;11001;1473;KR 74 G 60 A 10 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9892;;;122140-JINF-SDIS-SANTA ROSITA LAS VEGA;11;11001;1474;TV 49 C 75 A 60 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9893;;;122532-JINF-SDIS-RESO-BARLOVENTO;11;11001;1475;CL 62 B 71 H 24 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9894;;;278-JINF-SDIS-SAN FRANCISCO-;11;11001;1476;KR 20 A 67 27 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9895;;;10133 JINF SDIS Paraiso;11;11001;1477;Cra 27 L N 71 G 14 sur;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9896;;;111474-JINF-SDIS-ARBORIZADORA BAJA-;11;11001;1478;CL 59 B SUR 43 17;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9897;;;121623-JINF-SDIS-PREGUNTARIO-;11;11001;1479;KR 19 G 67 21 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9898;;;122123-JINF-SDIS-ACACIA SUR;11;11001;1480;KR 19 A 63 D 51 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9899;;;122129-JINF-SDIS-JJ RONDON NIÑO JESUS;11;11001;1481;KR 22 68 C 05 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9900;;;122130-JINF-SDIS-JJ RONDON ALTO DE LA CRUZ;11;11001;1482;TV 22 69 H 22 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9901;;;122131-JINF-SDIS-LA CASONA;11;11001;1483;KR 20 C 68 B 31 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9902;;;122133-JINF-SDIS-LOS NIÑOS TRAVIESOS;11;11001;1484;CL 63 B SUR 18 N 11;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9903;;;122139-JINF-SDIS-NUESTRA ESPERANZA COMPA;11;11001;1485;KR 18 T 65 A 27 SUR INT 2;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9904;;;122230-JINF-SDIS-SEMILLEROS DEL FUTURO MILLAN;11;11001;1486;DG 65 C SUR 19 A 83;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9905;;;122282-JINF-SDIS-ANALU VERBENAL QUIBA-;11;11001;1487;VERBENAL QUIBA https://goo.gl/maps/Qee2pzhLXKFtieBM6;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9906;;;122415-JINF-SDIS-RESO-ARBORIZADORA BAJA ;11;11001;1488;CL 59 B SUR 43 17;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9907;;;122418-JINF-SDIS-RESO-SEMILLEROS DEL FUTURO MILLAN ;11;11001;1489;DG 65 C SUR 19 A 83;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9908;;;122533-JINF-SDIS-RESO-LOS NIÑOS TRAVIESOS;11;11001;1490;CL 63 B SUR 18 N 11;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9909;;;122543-JINF-SDIS-RESO-NUESTRA ESPERANZA COMPA;11;11001;1491;KR 18 T 65 A 27 SUR INT 2;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9910;;;122575-JINF-SDIS-RESO-JJ RONDON NIÑO JESUS;11;11001;1492;KR 22 68 C 05 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9911;;;122642-JINF-SDIS-RESO-PREGUNTARIO;11;11001;1493;KR 19 G 67 21 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9912;;;122778 JINF SDIS NOCT Paraiso;11;11001;1494;Cra 27 L N 71 G 14 sur;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9913;;;Comedor Comunitario Arborizadora;11;11001;1495;Kr 43 65 I 25 Sur;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9914;;;Comedor Comunitario Perdomo;11;11001;1496;Ak 70 C 60 B 3 Sur;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9915;;;Casa de la Sabiduría Carlos Gaviria;11;11001;1497;CL 69 SUR 18 B 36;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9916;;;Casa de la Sabiduría Tejedores de Sueños;11;11001;1498;KR 42 70 A 50 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9917;;;Casa de la Sabiduría Sierra Morena;11;11001;1499;TV 60 73 C 07 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9918;;;Casa de la Sabiduría Las Acacias;11;11001;1500;TRANSVERSAL 19 C 62 D 21 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9919;;;Casa de la Sabiduría Bella Flor;11;11001;1501;Carrera 27A bis # 73-14 Sur;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9920;;;CENTRO CRECER VISTA HERMOSA;11;11001;1502;Calle 69 K N. 18 H 19 Sur;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9921;;;CENTRO CRECER ARBORIZADORA ALTA;11;11001;1503;Transversal 60 # 73c- 07 Sur ;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9922;;;95-JINF-SDIS-BELLAVISTA-;11;11001;1504;KR 68 G 67 A 10;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9923;;;98-JINF-SDIS-SATELITE LAS FERIAS-;11;11001;1505;KR 69 J 73 11;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9924;;;101-JINF-SDIS-SAN MARCOS-;11;11001;1506;KR 80 A 67 10;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9925;;;102-JINF-SDIS-ESTRADA SATELITE-;11;11001;1507;KR 68 G 67 A 10;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9926;;;103-JINF-SDIS-LAS FERIAS-;11;11001;1508;KR 69 K 73 90;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9927;;;121205-JINF-SDIS-WAWAKUNAPAK YACHAHUNA-;11;11001;1509;KR 70 C 52 99;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9928;;;121802-JINF-SDIS-RAYITO DE LUNA;11;11001;1510;KR 69 K 73 90;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9929;;;CENTRO PROTEGER JAIRO ANIBAL NIÑO ;11;11001;1511;Cl 52 A # 71-20 ;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9930;;;CAMILO TORRES;11;11001;1512;CARRERA 73 BIS No. 48 23;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9931;;;96-JINF-SDIS-ENGATIVA-;11;11001;1513;CL 66 B 122 03;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9932;;;97-JINF-SDIS-GARCES NAVAS-;11;11001;1514;CL 78 A 109 A 50;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9933;;;99-JINF-SDIS-LOS CEREZOS-;11;11001;1515;KR 89 80 35;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9934;;;100-JINF-SDIS-PLAZUELAS DEL VIRREY-;11;11001;1516;CL 72 A 106 91;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9935;;;104-JINF-SDIS-VILLA AMALIA-;11;11001;1517;CL 71 C 110 B 21;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
